index,x,y,name
1,197,29,Ob-L
2,309,34,Ob-R
3,321,206,MOs-R
4,194,209,MOs-L
5,346,225,MOp-R
6,163,228,MOp-L
7,64,232,SSp-m-L
8,434,228,SSp-m-R
9,385,273,SSp-ul-R
10,121,280,SSp-ul-L
11,398,293,SSp-un-R
12,445,280,SSp-n-R
13,346,291,SSp-II-R
14,109,301,SSp-un-L
15,60,292,SSp-n-L
16,157,297,SSp-II-L
17,464,332,SSs-R
18,427,344,SSp-bfd-R
19,77,357,SSp-bfd-L
20,285,395,RSPd-R
21,301,398,RSPagl-R
22,223,398,RSPd-L
23,349,336,SSp-tr-R
24,204,399,RSPagl-L
25,157,343,SSp-tr-L
26,353,370,VISa-R
27,46,381,SSs-L
28,153,379,VISa-L
29,480,405,AUDd-R
30,336,394,VISam-R
31,410,399,VISrl-R
32,170,398,VISam-L
33,34,415,AUDp-L
34,97,406,VISrl-L
35,370,459,VISp-R
36,444,421,VISal-R
37,343,443,VISpm-R
38,126,464,VISp-L
39,480,416,AUDp-R
40,166,446,VISpm-L
41,61,436,TEa-L
42,450,463,VISpor-R
43,61,476,VISpor-L
