num,name,x,y,area
0,Ob-L,195,29,2567.5
1,Ob-R,310,26,1468.5
2,MOs-L,196,176,11245.5
3,MOs-R,330,176,11245.5
4,MOp-L,152,207,8512
5,MOp-R,350,200,8110.5
6,SSp-m-L,77,215,2973.5
7,SSp-m-R,426,201,2728
8,SSp-ul-L,124,259,3496
9,SSp-ul-R,378,245,3486
10,SSp-un-L,105,286,1135.5
11,SSp-un-R,391,327,1135.5
12,SSp-n-L,65,275,2064
13,SSp-n-R,438,257,2128.5
14,SSp-II-L,161,289,2692
15,SSp-II-R,341,280,2556.5
16,SSs-L,35,337,2585.5
17,SSs-R,465,315,2401
18,SSp-bfd-L,81,344,6469
19,SSp-bfd-R,421,327,6395.5
20,RSPd-L,227,391,7458.5
21,RSPd-R,286,397,7458.5
22,RSPagl-L,212,391,3456.5
23,RSPagl-R,301,394,3506
24,SSp-tr-L,158,334,1649
25,SSp-tr-R,342,325,1846.5
26,VISa-L,148,371,2328.5
27,VISa-R,353,361,2386
28,AUDd-R,478,392,801.5
29,VISam-L,169,395,1161
30,VISam-R,333,387,1092
31,VISrl-L,96,406,1388.5
32,VISrl-R,406,391,1356
33,VISp-L,126,463,7405
34,VISp-R,377,452,7562
35,VISal-R,437,416,1062.5
36,VISpm-L,168,442,1607
37,VISpm-R,337,452,1607
38,AUDp-L,38,404,1330.5
39,AUDp-R,477,412,1330.5
40,TEa-L,65,435,946.5
41,VISpor-L,65,470,906
42,VISpor-R,444,460,2014
