region,x,y,name,,,,,,
1,255,255,cortex,,,,,,
2,197,29,Ob-L,Ob-L,195,29,Ob-L,195,29
3,309,34,Ob-R,Ob-R,310,26,Ob-R,310,26
4,321,206,MOs-R,MOs-L,196,176,MOs-R,350,200
5,194,209,MOs-L,MOp-L,152,207,MOs-L,196,176
6,346,225,MOp-R,MOs-R,350,200,MOp-R,350,200
7,163,228,MOp-L,MOp-R,350,200,MOp-L,152,207
8,64,232,SSp-m-L,SSp-m-R,426,201,SSp-m-L,77,215
9,434,228,SSp-m-R,SSp-m-L,77,215,SSp-m-R,426,201
10,385,273,SSp-ul-R,SSp-ul-R,378,245,SSp-ul-R,378,245
11,121,280,SSp-ul-L,SSp-ul-L,124,259,SSp-ul-L,124,259
12,398,293,SSp-un-R,SSs-R,465,315,SSp-un-R,421,327
13,445,280,SSp-n-R,SSp-n-R,438,257,SSp-n-R,438,257
14,346,291,SSp-II-R,SSp-II-R,341,280,SSp-II-R,341,280
15,109,301,SSp-un-L,SSp-un-L,105,286,SSp-un-L,105,286
16,60,292,SSp-n-L,SSp-n-L,65,275,SSp-n-L,65,275
17,157,297,SSp-II-L,SSp-II-L,161,289,SSp-II-L,161,289
18,464,332,SSs-R,SSs-L,35,337,SSs-R,465,315
19,427,344,SSp-bfd-R,SSp-un-R,421,327,SSp-bfd-R,421,327
20,77,357,SSp-bfd-L,SSp-bfd-R,421,327,SSp-bfd-L,81,344
21,285,395,RSPd-R,SSp-bfd-L,81,344,RSPd-R,286,397
22,301,398,RSPagl-R,RSPd-R,286,397,RSPagl-R,301,394
23,223,398,RSPd-L,RSPd-L,227,391,RSPd-L,227,391
24,349,336,SSp-tr-R,RSPagl-L,227,391,SSp-tr-R,342,325
25,204,399,RSPagl-L,SSp-tr-R,342,325,RSPagl-L,227,391
26,157,343,SSp-tr-L,SSp-tr-L,158,334,SSp-tr-L,158,334
27,353,370,VISa-R,VISa-R,353,361,VISa-R,353,361
28,46,381,SSs-L,VISa-L,148,371,SSs-L,35,337
29,153,379,VISa-L,AUDd-R,478,392,VISa-L,148,371
30,480,405,AUDd-R,AUDp-L,38,404,AUDd-R,478,392
31,336,394,VISam-R,VISam-R,333,387,VISam-R,333,387
32,410,399,VISrl-R,VISrl-R,406,391,VISrl-R,406,391
33,170,398,VISam-L,VISam-L,169,395,VISam-L,169,395
34,34,415,AUDp-L,VISrl-L,96,406,AUDp-L,38,404
35,97,406,VISrl-L,VISp-R,377,452,VISrl-L,96,406
36,370,459,VISp-R,VISpm-R,377,452,VISp-R,377,452
37,444,421,VISal-R,VISal-R,437,416,VISal-R,437,416
38,343,443,VISpm-R,VISp-L,126,463,VISpm-R,377,452
39,126,464,VISp-L,VISpm-L,168,442,VISp-L,126,463
40,480,416,AUDp-R,TEa-L,65,435,AUDp-R,477,412
41,166,446,VISpm-L,VISpor-R,444,460,VISpm-L,168,442
42,61,436,TEa-L,VISpor-L,65,470,TEa-L,65,435
43,450,463,VISpor-R,,,,VISpor-R,444,460
44,61,476,VISpor-L,,,,VISpor-L,65,470
